'tenhuyen, dt_luc,dt_tsl,dt_luk,dt_cln,dt_bhk'
tenhuyen, dt_luc,dt_tsl,dt_luk,dt_cln,dt_bhk
Ke Sach,22240.0,0.0,0.0,13888.0,0.0
My Xuyen,17088.0,20544.0,1024.0,880.0,176.0
Tran De,31360.0,5648.0,320.0,208.0,496.0
Vinh Chau,304.0,41920.0,0.0,0.0,1216.0
Cu Lao Dung,64.0,14576.0,0.0,3312.0,7344.0
Long Phu,25328.0,1104.0,0.0,1472.0,1136.0
My Tu,28240.0,0.0,0.0,896.0,5152.0
TP. ST,8864.0,0.0,0.0,0.0,0.0
Chau Thanh,23984.0,0.0,0.0,96.0,336.0
Nga Nam,22800.0,0.0,0.0,1088.0,16.0
Thanh Tri,29360.0,112.0,0.0,832.0,0.0
