v_year,total_rice,total_shrimp,total_rice_shrimp,total_riceother,total_fruit,total_crops
2005,143066.0,47107.0,8836.0,8439.0,14926.0,16138.0
2006,142459.0,48570.0,7447.0,8727.0,15059.0,16250.0
2007,142089.0,49871.0,6304.0,8615.0,15270.0,16363.0
2008,141737.0,51068.0,5304.0,8437.0,15532.0,16434.0
2009,141508.0,52060.0,4507.0,8133.0,15821.0,16483.0
2010,141343.0,52874.0,3862.0,7806.0,16075.0,16552.0
2011,141225.0,53616.0,3273.0,7575.0,16222.0,16601.0
2012,141123.0,54245.0,2801.0,7334.0,16373.0,16636.0
2013,141023.0,54785.0,2420.0,7107.0,16504.0,16673.0
2014,140943.0,55316.0,2055.0,6923.0,16600.0,16675.0
2015,140880.0,55742.0,1748.0,6760.0,16701.0,16681.0
2016,140834.0,56092.0,1516.0,6618.0,16755.0,16697.0
2017,140802.0,56447.0,1263.0,6478.0,16824.0,16698.0
2018,140786.0,56731.0,1094.0,6368.0,16849.0,16684.0
2019,140775.0,56979.0,946.0,6253.0,16898.0,16661.0
2020,140740.0,57228.0,820.0,6166.0,16904.0,16654.0
2021,140725.0,57429.0,714.0,6109.0,16902.0,16633.0
2022,140710.0,57650.0,598.0,6043.0,16906.0,16605.0
2023,140697.0,57831.0,512.0,5978.0,16918.0,16576.0
2024,140681.0,57978.0,438.0,5919.0,16924.0,16572.0
2025,140659.0,58124.0,382.0,5872.0,16923.0,16552.0
2026,140647.0,58267.0,325.0,5831.0,16904.0,16538.0
2027,140642.0,58382.0,281.0,5794.0,16886.0,16527.0
2028,140622.0,58488.0,237.0,5750.0,16904.0,16511.0
2029,140614.0,58600.0,206.0,5723.0,16878.0,16491.0
2030,140602.0,58711.0,176.0,5694.0,16860.0,16469.0
2031,140592.0,58814.0,147.0,5675.0,16836.0,16448.0
